temperature,dissolved oxygen,pH,conductivity,BCOD,nitrate,faecal coliform,total coliform,,
7.5,9.95,7.85,134.5,0.15,0.255,22.5,180,,
11,9.65,7.7,77,0.45,0.2,62.5,410,,
7.5,9.9,7.65,101.5,0.55,0.1,26,200,,
8.5,9.65,7.55,148,0.35,0.25,97.5,600,,
10,9.55,7.8,106,0.25,0.15,47.5,380,,
11,9.45,7.75,97.5,0.85,0.3,67,445,,
9.5,9.55,7.9,203.5,0.5,0.195,74.5,570,,
10.5,9.85,7.7,95.5,0.25,0.115,60,290,,
14.5,9.8,7.95,99,0.25,0.1,26.5,225,,
16.5,9.25,7.65,111.5,0.25,0.15,66,295,,
19,8.9,8.2,162,0.25,0.12,37.5,240,,
14.5,8.65,8.05,116,0.15,0.15,22,200,,
16,9.65,8.05,163,0.4,0.47,190.5,970,,
12.25,9.75,8,234.5,0.3,0.9,4,104.5,,
11.25,9.65,7.8,206.4,0.3,0.94,4,98.5,,
14.25,10.25,7.7,249.5,0.25,0.7,4.05,105,,
13.75,8.85,7.54,150.5,0.25,0.68,4,119,,
12.65,8.7,7.625,220,0.3,0.685,21,109,,
16.55,8.2,7.9,211.5,0.2,0.3,2,40.5,,
17,8.2,8.1,216.5,0.15,0.55,3,48,,
16.1,8.05,7.9,217,0.2,0.45,4,95,,
17.55,8.65,7.6,248,0.2,0.6,4.5,104.5,,
11.5,9.65,7.75,87.5,0.2,0.3,52.5,285,,
21.1,8.7,8,214,0,0.5,2,2,,
26,8.9,8,215,0,0.5,2000,13000,,
20,7.75,7.6,209,1.05,0.25,38.5,82,,
21.5,8.15,7.85,252,1.2,0.35,86.5,179.5,,
21.5,8.2,7.7,260,1.2,0.25,68,120,,
21,7.95,8,255,1.35,0.55,292,480,,
20.5,7.6,7.75,275.5,1.55,0.7,375,675,,
20,7.9,7.55,295,1.35,0.65,300,435,,
20.5,8.3,7.75,256,1.3,0.55,357,555,,
20,7.8,7.8,254.5,1.3,0.8,220,420,,
19.5,8.3,7.7,253,1.2,0.45,172,375,,
23,8.15,7.7,261,1.2,0.7,230,375,,
8.5,9.4,7.8,1333.5,0.95,1.2,9,88.5,,
8.5,9.35,7.9,1428.5,0.75,1.2,17,823.5,,
9.5,8.95,7.65,1409,1.55,1.3,15.5,835,,
10.05,8.9,7.85,1442,0.6,0.7,16,122,,
10.1,8.75,7.7,1453.5,0.6,0.75,16,157,,
9,8.5,8.1,2630,0.4,1.3,14,94,,
10,8.6,8.5,2619,0.5,1.2,12,84,,
9.5,8.75,7.9,1458.5,0.6,0.7,11,842,,
10.25,8.65,7.95,1372,0.9,0.75,42,275,,
9.5,8.85,7.9,1345,0.9,0.75,55.9,823,,
9.5,8.4,7.6,1339.5,0.55,0.75,20.4,819.5,,
11.25,8.6,7.55,1321,0.6,0.785,105.9,847,,
11.25,8.7,7.6,1293.5,0.95,0.78,47.9,905,,
12,8.65,7.75,1221,0.95,0.87,35.9,860,,
11.5,8.5,7.9,1330.5,0.65,0.7,29,140.9,,
11.5,8.5,7.7,1317,0.7,0.75,48,355,,
17,9.85,8.2,1174,0.1,0.16,23,195,,
16,9.8,7.85,680,0.45,0.255,22,250,,
12,7.65,7.85,1364.5,0.25,0.58,19.4,85.9,,
19.75,9.05,8.3,279,0.25,0.1,27.5,225,,
20,9.7,8.3,143.5,0.25,0.15,35,260,,
10.35,8.7,7.9,752.5,0.7,0.55,25.5,163,,
10.35,8.75,7.65,745,0.6,0.55,32,217,,
17.5,8.45,7.85,402,0,3.1,235,785,,
18,8.4,7.65,303.5,0,2.05,141.5,490,,
18,8.4,7.7,235.5,0,4.45,125.5,455,,
19,8.5,7.7,291,1,6.35,224.5,610,,
19,8.1,7.8,260,1.3,1.2,356.5,735,,
24,6,7.35,580,5,0.4,605,1240,,
24,2.95,7.55,790.5,8,1.5,1490,2200,,
23.5,1.6,7.5,1012.5,31.5,2.4,28000,42000,,
23.5,0,7.45,1149.5,62,2.9,45500,72500,,
22.5,0,7.3,1331,84,3.4,93500,179500,,
21,7.95,7.75,304,1.5,3.25,720,1615,,
23,4.1,7.4,634,29.5,2.65,117000,481000,,
16.5,9.3,7.75,209.5,1,2.705,55,237,,
16.5,8.65,7.65,260,0,1.74,178,620,,
20,7.95,7.85,336.5,1.1,2.85,405,1265,,
20,8.45,7.9,287.5,0,2.75,429.5,990,,
21.5,7.7,7.65,356,2.05,6.05,990,2910,,
23.5,3.5,7.45,780.5,56.5,1.765,863500,1789500,,
23,6.1,7.55,344,3.1,2.05,3600,7150,,
20.5,4.45,7.4,598,11.6,1.11,52000,138500,,
21.5,3.5,7.65,761,12.7,1.75,11100,28650,,
22,7.8,7.65,249,1.15,0.8,511.5,1445,,
23,7.65,7.7,260,1.5,2.25,490.5,1260,,
